Date,Time,Model,Accuracy,AvgLoss,Sparsity,Time,Beta,Timestep,Threshold
27/10/2022,14:10:11,SCNN_A,0.997,0.047791,0.916739345,10.90581698,0.223684265,10,0.551903911
27/10/2022,14:34:19,SCNN_A,0.997,0.077622,0.942037404,14.61097898,0.502147179,14,1.796491514
26/10/2022,16:05:42,SCNN_A,0.99,0.111252,0.935993075,20.96088412,0.68118289,20,2.956268149
27/10/2022,13:57:03,SCNN_A,0.99,0.016709,0.88287884,7.506279485,0.792411224,7,0.742409361
27/10/2022,14:25:31,SCNN_A,0.99,0.054545,0.910582781,12.93497535,0.396831869,12,0.70315117
26/10/2022,16:49:50,SCNN_A,0.983,0.247833,0.915633559,13.1099422,0.967411247,13,3.893830965
27/10/2022,13:10:13,SCNN_A,0.983,0.269269,0.929145098,21.1966535,0.791379622,21,2.965255077
27/10/2022,11:36:46,SCNN_A,0.98,0.070242,0.917892158,14.5719143,0.55260924,14,1.263549837
27/10/2022,11:58:50,SCNN_A,0.98,0.250283,0.935514033,17.18360412,0.848076036,17,2.558026185
27/10/2022,10:58:47,SCNN_A,0.977,0.144411,0.841804624,23.99750751,0.455411883,23,0.264858534
